"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,17.09.2025 (15:00 - 17:30),,,NEXT DAY:,,18.09.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2283,Не з'явився,,,1,,2808,Обіцяв бути,---,,#N/A
2,2871,Зайшов,Остання спроба,,2,Остання спроба,3192,Обіцяв бути,---,,#N/A
3,2986,Зайшов,,,3,Остання спроба,3198,Обіцяв бути,---,,#N/A
4,3173,Зайшов,,,4,,3203,Обіцяв бути,---,,#N/A
5,3192,Не зайшов,Остання спроба,,5,,3205,Обіцяв бути,---,,5
6,3194,Не зайшов,3609,,6,,3207,Обіцяв бути,---,,#N/A
7,3198,Не зайшов,Остання спроба,,7,3515,3210,Обіцяв бути,---,,6
8,3202,Відклав візит,,,8,,3212,Обіцяв бути,---,,#N/A
9,3203,Не зайшов,,,9,,3213,Обіцяв бути,---,,7
10,3205,Не зайшов,,,10,,3214,Обіцяв бути,---,,8
11,3207,Не зайшов,,,11,,3216,Обіцяв бути,---,,9
12,3210,Не зайшов,3515,,12,,3217,Обіцяв бути,---,,10
13,3213,Не зайшов,,,13,,3224,Обіцяв бути,---,,12
14,3214,Не зайшов,,,14,,3225,Обіцяв бути,---,,13
15,3216,Не зайшов,,,15,,3227,Обіцяв бути,---,,14
16,3217,Не зайшов,,,16,,3233,Обіцяв бути,---,,15
17,3220,Не зайшов,пройшов на Іваніса,,17,,3235,Обіцяв бути,---,,#N/A
18,3224,Не зайшов,,,18,,3236,Обіцяв бути,---,,16
19,3225,Не зайшов,,,19,,3238,Обіцяв бути,---,,17
20,3227,Не зайшов,,,20,,3242,Обіцяв бути,---,,18
21,3233,Не зайшов,,,21,,3243,Обіцяв бути,---,,19
22,3235,Не зайшов,,,22,,3244,Обіцяв бути,---,,20
