"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,28.10.2025 (10:00 - 14:00),,,Поточний прийом:,,29.10.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
95,4177,Не зайшов,,,95,,4286,Обіцяв бути,---,,Попередній 107,,4373
96,4183,Не зайшов,,,96,,4287,Обіцяв бути,---,,Попередній 108,,4390
97,4188,Відклав візит,,,97,,4294,Обіцяв бути,---,,Попередній 109,,4396
98,4194,Не зайшов,,,98,,4295,Обіцяв бути,---,,Попередній 110,,4421
99,4211,Не зайшов,,,99,,4319,Обіцяв бути,---,,Попередній 111,,4427
100,4223,Не зайшов,,,100,,4338,Обіцяв бути,---,,Попередній 112,,4444
101,4233,Не зайшов,,,101,,4339,Обіцяв бути,---,,Попередній 113,,4459
102,4240,Не зайшов,,,102,,4371,Обіцяв бути,---,,Попередній 114
103,4241,Не зайшов,,,103,,4373,Обіцяв бути,---,,Попередній 115
104,4263,Не зайшов,,,104,,4390,Обіцяв бути,---,,Попередній 116
105,4269,Не зайшов,,,105,,4396,Обіцяв бути,---,,Попередній 117
106,4270,Не зайшов,,,106,,4421,Обіцяв бути,---,,Попередній 119
107,4286,Не зайшов,,,107,,4427,Обіцяв бути,---,,Попередній 120
108,4287,Не зайшов,,,108,,4444,Обіцяв бути,---,,Попередній 121
109,4294,Не зайшов,,,109,,4459,Обіцяв бути,---,,Попередній 123
110,4295,Не зайшов,,,110,,4479,Обіцяв бути,---,,Відсутній
111,4319,Не зайшов,,,111,,4482,Відклав візит,09.12.2025,,Записаний 89
112,4338,Не зайшов,,,112,,4486,Обіцяв бути,---,,Відсутній
113,4339,Не зайшов,,,113
114,4371,Не зайшов,,,114
115,4373,Не зайшов,,,115
116,4390,Не зайшов,,,116
117,4396,Не зайшов,,,117
118,4413,Відклав візит,,,118
119,4421,Не зайшов,,,119
120,4427,Не зайшов,,,120
121,4444,Не зайшов,,,121
122,4456,Відклав візит,,,122
123,4459,Не зайшов,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
159,,,,,159
160,,,,,160
161,,,,,161
162,,,,,162
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
