"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,17.12.2025 (9:00 - 14:00),,,Поточний прийом:,,18.12.2025 (10:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту,Перевірка,Примітки,"ID
(номер первинної черги)",Альтернативний калькулятор дати
23,4514,Не зайшов,,,23,,4543,Обіцяв бути,---,22.12.2025,Попередній 27,,4543,14.01.2026
24,4515,Не зайшов,,,24,,4546,Обіцяв бути,---,22.12.2025,Попередній 28,,4546,14.01.2026
25,4521,Не зайшов,,,25,,4554,Обіцяв бути,---,23.12.2025,Попередній 29,,4554,15.01.2026
26,4535,Не зайшов,,,26,,4558,Обіцяв бути,---,23.12.2025,Попередній 30,,4558,15.01.2026
27,4543,Не зайшов,,,27,,4560,Обіцяв бути,---,23.12.2025,Попередній 31,,4560,15.01.2026
28,4546,Не зайшов,,,28,,4566,Обіцяв бути,---,24.12.2025,Попередній 32,,4566,16.01.2026
29,4554,Не зайшов,,,29,,4571,Обіцяв бути,---,24.12.2025,Попередній 33,,4571,19.01.2026
30,4558,Не зайшов,,,30,,4572,Обіцяв бути,---,24.12.2025,Попередній 34,,4572,19.01.2026
31,4560,Не зайшов,,,31,,4575,Обіцяв бути,---,24.12.2025,Попередній 35,,4575,19.01.2026
32,4566,Не зайшов,,,32,,4577,Обіцяв бути,---,24.12.2025,Попередній 36,,4577,20.01.2026
33,4571,Не зайшов,,,33,,4580,Обіцяв бути,---,24.12.2025,Попередній 37,,4580,20.01.2026
34,4572,Не зайшов,,,34,,4583,Обіцяв бути,---,25.12.2025,Попередній 38,,4583,20.01.2026
35,4575,Не зайшов,,,35,,4584,Обіцяв бути,---,25.12.2025,Попередній 39,,4584,21.01.2026
36,4577,Не зайшов,,,36,,4586,Обіцяв бути,---,25.12.2025,Попередній 40,,4586,21.01.2026
37,4580,Не зайшов,,,37,,4587,Обіцяв бути,---,25.12.2025,Попередній 41,,4587,21.01.2026
38,4583,Не зайшов,,,38,,4600,Обіцяв бути,---,26.12.2025,Попередній 42,,4600,22.01.2026
39,4584,Не зайшов,,,39,,4607,Обіцяв бути,---,26.12.2025,Попередній 43,,4607,22.01.2026
40,4586,Не зайшов,,,40,,4609,Обіцяв бути,---,26.12.2025,Попередній 44,,4609,22.01.2026
41,4587,Не зайшов,,,41,,4618,Обіцяв бути,---,29.12.2025,Попередній 45,,4618,23.01.2026
42,4600,Не зайшов,,,42,,4623,Обіцяв бути,---,29.12.2025,Попередній 46,,4623,23.01.2026
43,4607,Не зайшов,,,43,,4624,Обіцяв бути,---,29.12.2025,Попередній 47,,4624,23.01.2026
44,4609,Не зайшов,,,44,,4625,Обіцяв бути,---,29.12.2025,Попередній 48,,4625,23.01.2026
45,4618,Не зайшов,,,45,,4629,Обіцяв бути,---,29.12.2025,Попередній 49,,4629,23.01.2026
46,4623,Не зайшов,,,46,,4632,Обіцяв бути,---,30.12.2025,Попередній 50,,4632,26.01.2026
47,4624,Не зайшов,,,47,,4637,Обіцяв бути,---,30.12.2025,Попередній 51,,4637,26.01.2026
48,4625,Не зайшов,,,48,,4656,Обіцяв бути,---,31.12.2025,Попередній 52,,4656,28.01.2026
49,4629,Не зайшов,,,49,,4674,Обіцяв бути,---,01.01.2026,Попередній 53,,4674,30.01.2026
50,4632,Не зайшов,,,50,,4675,Обіцяв бути,---,01.01.2026,Попередній 54,,4675,30.01.2026
51,4637,Не зайшов,,,51,,4680,Обіцяв бути,---,02.01.2026,Попередній 55,,4680,30.01.2026
52,4656,Не зайшов,,,52,,4704,Обіцяв бути,---,05.01.2026,Попередній 56,,4704,03.02.2026
53,4674,Не зайшов,,,53,,4706,Обіцяв бути,---,05.01.2026,Попередній 57,,4706,03.02.2026
54,4675,Не зайшов,,,54,,4714,Обіцяв бути,---,06.01.2026,Попередній 58,,4714,04.02.2026
55,4680,Не зайшов,,,55,,4723,Обіцяв бути,---,06.01.2026,Попередній 59,,4723,05.02.2026
56,4704,Не зайшов,,,56,,4724,Обіцяв бути,---,06.01.2026,Попередній 60,,4724,05.02.2026
57,4706,Не зайшов,,,57,,4731,Обіцяв бути,---,07.01.2026,Попередній 61,,4731,05.02.2026
58,4714,Не зайшов,,,58,,4735,Обіцяв бути,---,07.01.2026,Попередній 62,,4735,06.02.2026
59,4723,Не зайшов,,,59,,4740,Обіцяв бути,---,07.01.2026,Записаний 64,,4740,06.02.2026
60,4724,Не зайшов,,,60,,4747,Обіцяв бути,---,08.01.2026,Попередній 63,,4747,09.02.2026
61,4731,Не зайшов,,,61,,4755,Обіцяв бути,---,08.01.2026,Попередній 64,,4755,09.02.2026
62,4735,Не зайшов,,,62,,4762,Обіцяв бути,---,09.01.2026,Попередній 65,,4762,10.02.2026
63,4747,Не зайшов,,,63,,4771,Обіцяв бути,---,09.01.2026,Попередній 66,,4771,11.02.2026
64,4755,Не зайшов,,,64,,4773,Обіцяв бути,---,09.01.2026,Попередній 67,,4773,11.02.2026
65,4762,Не зайшов,,,65,,4776,Обіцяв бути,---,12.01.2026,Попередній 68,,4776,12.02.2026
66,4771,Не зайшов,,,66,,4780,Обіцяв бути,---,12.01.2026,Попередній 69,,4780,12.02.2026
67,4773,Не зайшов,,,67,,4786,Обіцяв бути,---,12.01.2026,Попередній 70,,4786,12.02.2026
68,4776,Не зайшов,,,68,,4788,Обіцяв бути,---,12.01.2026,Попередній 71,,4788,13.02.2026
69,4780,Не зайшов,,,69,,4789,Обіцяв бути,---,12.01.2026,Попередній 72,,4789,13.02.2026
70,4786,Не зайшов,,,70,,4791,Обіцяв бути,---,13.01.2026,Попередній 73,,4791,13.02.2026
71,4788,Не зайшов,,,71,,4792,Обіцяв бути,---,13.01.2026,Попередній 74,,4792,13.02.2026
72,4789,Не зайшов,,,72,,4794/2,Обіцяв бути,---,13.01.2026,Попередній 75,,4794/2,16.02.2026
73,4791,Не зайшов,,,73,,4794/4,Обіцяв бути,---,13.01.2026,Попередній 76,,4794/4,16.02.2026
74,4792,Не зайшов,,,74,,4795,Обіцяв бути,---,13.01.2026,Попередній 77,,4795,16.02.2026
75,4794/2,Не зайшов,,,75,,4807,Обіцяв бути,---,14.01.2026,Попередній 78,,4807,17.02.2026
76,4794/4,Не зайшов,,,76,,4813,Обіцяв бути,---,14.01.2026,Попередній 79,,4813,17.02.2026
77,4795,Не зайшов,,,77,,4820,Обіцяв бути,---,14.01.2026,Попередній 80,,4820,18.02.2026
78,4807,Не зайшов,,,78,,4825,Обіцяв бути,---,15.01.2026,Попередній 81,,4825,18.02.2026
79,4813,Не зайшов,,,79,,4833,Обіцяв бути,---,15.01.2026,Попередній 82,,4833,19.02.2026
80,4820,Не зайшов,,,80,,4843,Обіцяв бути,---,16.01.2026,Попередній 83,,4843,19.02.2026
81,4825,Не зайшов,,,81,,4845,Обіцяв бути,---,16.01.2026,Попередній 84,,4845,20.02.2026
82,4833,Не зайшов,,,82,,4854,Обіцяв бути,---,19.01.2026,Попередній 85,,4854,20.02.2026
83,4843,Не зайшов,,,83,,4855,Обіцяв бути,---,19.01.2026,Попередній 86,,4855,20.02.2026
84,4845,Не зайшов,,,84,,4856,Обіцяв бути,---,19.01.2026,Попередній 87,,4856,23.02.2026
85,4854,Не зайшов,,,85,,4858,Обіцяв бути,---,19.01.2026,Попередній 88,,4858,23.02.2026
86,4855,Не зайшов,,,86,,4869,Обіцяв бути,---,19.01.2026,Попередній 89,,4869,24.02.2026
87,4856,Не зайшов,,,87,,4872,Обіцяв бути,---,20.01.2026,Попередній 90,,4872,24.02.2026
88,4858,Не зайшов,,,88,,4876,Обіцяв бути,---,20.01.2026,Попередній 91,,4876,24.02.2026
89,4869,Не зайшов,,,89,,4878,Обіцяв бути,---,20.01.2026,Попередній 92,,4878,25.02.2026
90,4872,Не зайшов,,,90,,4880,Обіцяв бути,---,20.01.2026,Попередній 93,,4880,25.02.2026
91,4876,Не зайшов,,,91,,4883,Обіцяв бути,---,20.01.2026,Попередній 94,,4883,25.02.2026
92,4878,Не зайшов,,,92,,4884,Обіцяв бути,---,20.01.2026,Попередній 95,,4884,25.02.2026
93,4880,Не зайшов,,,93,,4902,Обіцяв бути,---,22.01.2026,Попередній 96,,4902,27.02.2026
94,4883,Не зайшов,,,94,,4904,Обіцяв бути,---,22.01.2026,Попередній 97,,4904,27.02.2026
95,4884,Не зайшов,,,95,,4908,Обіцяв бути,---,22.01.2026,Попередній 98,,4908,27.02.2026
96,4902,Не зайшов,,,96,,4915,Обіцяв бути,---,22.01.2026,Попередній 99,,4915,27.02.2026
97,4904,Не зайшов,,,97,,4933,Обіцяв бути,---,23.01.2026,Попередній 100,,4933,02.03.2026
98,4908,Не зайшов,,,98,,4935,Обіцяв бути,---,26.01.2026,Попередній 101,,4935,02.03.2026
99,4915,Не зайшов,,,99,,4942,Обіцяв бути,---,26.01.2026,Записаний 65,,4942,03.03.2026
100,4933,Не зайшов,,,100,,4950,Обіцяв бути,---,27.01.2026,Попередній 102,,4950,03.03.2026
101,4935,Не зайшов,,,101,,4953,Обіцяв бути,---,27.01.2026,Попередній 103,,4953,04.03.2026
102,4950,Не зайшов,,,102,,4960,Обіцяв бути,---,27.01.2026,Попередній 104,,4960,04.03.2026
103,4953,Не зайшов,,,103,,4963,Обіцяв бути,---,27.01.2026,Попередній 105,,4963,05.03.2026
104,4960,Не зайшов,,,104,,4965,Обіцяв бути,---,27.01.2026,Попередній 106,,4965,05.03.2026
105,4963,Не зайшов,,,105,,4966,Обіцяв бути,---,28.01.2026,Попередній 107,,4966,05.03.2026
106,4965,Не зайшов,,,106,,4968,Обіцяв бути,---,28.01.2026,Попередній 108,,4968,05.03.2026
107,4966,Не зайшов,,,107,,4970,Обіцяв бути,---,28.01.2026,Попередній 109,,4970,05.03.2026
108,4968,Не зайшов,,,108,,4971,Обіцяв бути,---,28.01.2026,Попередній 110,,4971,05.03.2026
109,4970,Не зайшов,,,109,,4973,Обіцяв бути,---,28.01.2026,Попередній 111,,4973,06.03.2026
110,4971,Не зайшов,,,110,,4976,Обіцяв бути,---,28.01.2026,Попередній 112,,4976,06.03.2026
111,4973,Не зайшов,,,111,,4978,Обіцяв бути,---,28.01.2026,Попередній 113,,4978,06.03.2026
112,4976,Не зайшов,,,112,,4980,Обіцяв бути,---,28.01.2026,Попередній 114,,4980,06.03.2026
113,4978,Не зайшов,,,113,,4981,Обіцяв бути,---,28.01.2026,Попередній 115,,4981,06.03.2026
114,4980,Не зайшов,,,114,,4982,Обіцяв бути,---,29.01.2026,Попередній 116,,4982,06.03.2026
115,4981,Не зайшов,,,115,,4983,Обіцяв бути,---,29.01.2026,Записаний 66,,4983,09.03.2026
116,4982,Не зайшов,,,116,,4989,Обіцяв бути,---,29.01.2026,Попередній 117,,4989,09.03.2026
117,4989,Не зайшов,,,117,,4997,Обіцяв бути,---,29.01.2026,Попередній 118,,4997,10.03.2026
118,4997,Не зайшов,,,118,,4999,Обіцяв бути,---,30.01.2026,Попередній 119,,4999,10.03.2026
119,4999,Не зайшов,,,119,,5001,Обіцяв бути,---,30.01.2026,Попередній 120,,5001,10.03.2026
120,5001,Не зайшов,,,120,,5003,Обіцяв бути,---,30.01.2026,Попередній 121,,5003,11.03.2026
121,5003,Не зайшов,,,121,,5004,Обіцяв бути,---,30.01.2026,Попередній 122,,5004,11.03.2026
122,5004,Не зайшов,,,122,,5009,Обіцяв бути,---,30.01.2026,Попередній 123,,5009,11.03.2026
123,5009,Не зайшов,,,123,,5010,Обіцяв бути,---,30.01.2026,Попередній 124,,5010,11.03.2026
124,5010,Не зайшов,,,124,,5015,Обіцяв бути,---,02.02.2026,Попередній 125,,5015,12.03.2026
125,5015,Не зайшов,,,125,,5020,Обіцяв бути,---,02.02.2026,Попередній 126,,5020,12.03.2026
126,5020,Не зайшов,,,126,,5029,Обіцяв бути,---,02.02.2026,Попередній 127,,5029,13.03.2026
127,5029,Не зайшов,,,127,,5036,Обіцяв бути,---,03.02.2026,Попередній 128,,5036,16.03.2026
128,5036,Не зайшов,,,128,,5039,Обіцяв бути,---,03.02.2026,Записаний 67,,5039,16.03.2026
129,5041,Не зайшов,,,129,,5041,Обіцяв бути,---,03.02.2026,Попередній 129,,5041,16.03.2026
130,5067,Не зайшов,,,130,,5043,Обіцяв бути,---,03.02.2026,Записаний 68,,5043,17.03.2026
131,5070,Не зайшов,,,131,,5067,Обіцяв бути,---,05.02.2026,Попередній 130,,5067,19.03.2026
132,5076,Не зайшов,,,132,,5070,Обіцяв бути,---,05.02.2026,Попередній 131,,5070,19.03.2026
133,5094,Не зайшов,,,133,,5076,Обіцяв бути,---,05.02.2026,Попередній 132,,5076,20.03.2026
134,5099,Не зайшов,,,134,,5094,Обіцяв бути,---,09.02.2026,Попередній 133,,5094,23.03.2026
135,5267,Не зайшов,,,135,,5099,Обіцяв бути,---,09.02.2026,Попередній 134,,5099,24.03.2026
136,,,,,136,,5240,Обіцяв бути,---,20.02.2026,Записаний 69,,5240,10.04.2026
137,,,,,137,,5267,Обіцяв бути,---,23.02.2026,Попередній 135,,5267,15.04.2026
138,,,,,138,,5303,Обіцяв бути,---,26.02.2026,Записаний 70,"ваш номер 5303, а не 5030",5303,21.04.2026
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
159,,,,,159
160,,,,,160
161,,,,,161
162,,,,,162
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
198,,,,,198
199,,,,,199
200,,,,,200
201,,,,,201
202,,,,,202
203,,,,,203
204,,,,,204
205,,,,,205
206,,,,,206
207,,,,,207
208,,,,,208
209,,,,,209
210,,,,,210
211,,,,,211
212,,,,,212
213,,,,,213
214,,,,,214
215,,,,,215
216,,,,,216
217,,,,,217
218,,,,,218
219,,,,,219
220,,,,,220
221,,,,,221
222,,,,,222
223,,,,,223
224,,,,,224
225,,,,,225
226,,,,,226
227,,,,,227
228,,,,,228
229,,,,,229
230,,,,,230
231,,,,,231
232,,,,,232
233,,,,,233
234,,,,,234
235,,,,,235
236,,,,,236
237,,,,,237
238,,,,,238
239,,,,,239
240,,,,,240
241,,,,,241
242,,,,,242
243,,,,,243
244,,,,,244
245,,,,,245
246,,,,,246
247,,,,,247
248,,,,,248
249,,,,,249
250,,,,,250
251,,,,,251
252,,,,,252
253,,,,,253
254,,,,,254
255,,,,,255
256,,,,,256
257,,,,,257
258,,,,,258
259,,,,,259
260,,,,,260
261,,,,,261
262,,,,,262
263,,,,,263
264,,,,,264
265,,,,,265
266,,,,,266
267,,,,,267
268,,,,,268
269,,,,,269
270,,,,,270
271,,,,,271
272,,,,,272
273,,,,,273
274,,,,,274
275,,,,,275
276,,,,,276
277,,,,,277
278,,,,,278
279,,,,,279
280,,,,,280
281,,,,,281
282,,,,,282
283,,,,,283
284,,,,,284
285,,,,,285
286,,,,,286
287,,,,,287
288,,,,,288
289,,,,,289
290,,,,,290
291,,,,,291
292,,,,,292
293,,,,,293
294,,,,,294
295,,,,,295
296,,,,,296
297,,,,,297
298,,,,,298
299,,,,,299
300,,,,,300
301,,,,,301
302,,,,,302
303,,,,,303
304,,,,,304
305,,,,,305
306,,,,,306
307,,,,,307
308,,,,,308
309,,,,,309
310,,,,,310
311,,,,,311
312,,,,,312
313,,,,,313
314,,,,,314
315,,,,,315
316,,,,,316
317,,,,,317
318,,,,,318
319,,,,,319
320,,,,,320
321,,,,,321
322,,,,,322
323,,,,,323
324,,,,,324
325,,,,,325
326,,,,,326
327,,,,,327
328,,,,,328
329,,,,,329
330,,,,,330
331,,,,,331
332,,,,,332
333,,,,,333
334,,,,,334
335,,,,,335
336,,,,,336
337,,,,,337
338,,,,,338
339,,,,,339
340,,,,,340
341,,,,,341
342,,,,,342
343,,,,,343
344,,,,,344
345,,,,,345
346,,,,,346
347,,,,,347
348,,,,,348
349,,,,,349
350,,,,,350
351,,,,,351
352,,,,,352
353,,,,,353
354,,,,,354
355,,,,,355
356,,,,,356
357,,,,,357
358,,,,,358
359,,,,,359
360,,,,,360
361,,,,,361
362,,,,,362
363,,,,,363
364,,,,,364
365,,,,,365
366,,,,,366
367,,,,,367
368,,,,,368
369,,,,,369
370,,,,,370
371,,,,,371
372,,,,,372
373,,,,,373
374,,,,,374
375,,,,,375
376,,,,,376
377,,,,,377
378,,,,,378
379,,,,,379
380,,,,,380
381,,,,,381
382,,,,,382
383,,,,,383
384,,,,,384
385,,,,,385
386,,,,,386
387,,,,,387
388,,,,,388
389,,,,,389
390,,,,,390
391,,,,,391
392,,,,,392
393,,,,,393
394,,,,,394
395,,,,,395
396,,,,,396
397,,,,,397
398,,,,,398
399,,,,,399
400,,,,,400
401,,,,,401
402,,,,,402
403,,,,,403
404,,,,,404
405,,,,,405
406,,,,,406
407,,,,,407
408,,,,,408
409,,,,,409
410,,,,,410
411,,,,,411
412,,,,,412
413,,,,,413
414,,,,,414
415,,,,,415
416,,,,,416
417,,,,,417
418,,,,,418
419,,,,,419
420,,,,,420
421,,,,,421
422,,,,,422
423,,,,,423
424,,,,,424
425,,,,,425
426,,,,,426
427,,,,,427
428,,,,,428
429,,,,,429
430,,,,,430
431,,,,,431
432,,,,,432
433,,,,,433
434,,,,,434
435,,,,,435
436,,,,,436
437,,,,,437
438,,,,,438
439,,,,,439
440,,,,,440
441,,,,,441
442,,,,,442
443,,,,,443
444,,,,,444
445,,,,,445
446,,,,,446
447,,,,,447
448,,,,,448
449,,,,,449
450,,,,,450
451,,,,,451
452,,,,,452
453,,,,,453
454,,,,,454
455,,,,,455
456,,,,,456
457,,,,,457
458,,,,,458
459,,,,,459
460,,,,,460
461,,,,,461
462,,,,,462
463,,,,,463
464,,,,,464
465,,,,,465
466,,,,,466
467,,,,,467
468,,,,,468
469,,,,,469
470,,,,,470
471,,,,,471
472,,,,,472
473,,,,,473
474,,,,,474
475,,,,,475
476,,,,,476
477,,,,,477
478,,,,,478
479,,,,,479
480,,,,,480
481,,,,,481
482,,,,,482
483,,,,,483
484,,,,,484
485,,,,,485
486,,,,,486
487,,,,,487
488,,,,,488
489,,,,,489
490,,,,,490
491,,,,,491
492,,,,,492
493,,,,,493
494,,,,,494
495,,,,,495
496,,,,,496
497,,,,,497
