"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,11.09.2025 (8:30 - 14:00),,,NEXT DAY:,,12.09.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2704,Зайшов,Остання спроба,,1,Остання спроба,2888,Обіцяв бути,---,,#N/A
2,2721,Зайшов,,,2,,3057,Обіцяв бути,---,,#N/A
3,2806,Не з'явився,В кінець черги,,3,,3063,Обіцяв бути,---,,#N/A
4,2869,Зайшов,Остання спроба,,4,Остання спроба,3083,Обіцяв бути,---,,#N/A
5,2963,Зайшов,Остання спроба,,5,,3088,Обіцяв бути,---,,#N/A
6,2964,Зайшов,Остання спроба,,6,,3118,Обіцяв бути,---,,#N/A
7,2970,Не з'явився,В кінець черги,,7,,3132,Обіцяв бути,---,,#N/A
8,2973,Не з'явився,В кінець черги,,8,Остання спроба,3142,Обіцяв бути,---,,#N/A
9,3022,Не з'явився,В кінець черги,,9,Остання спроба,3143,Обіцяв бути,---,,#N/A
10,3028,Зайшов,Остання спроба,,10,Остання спроба,3147,Обіцяв бути,---,,#N/A
11,3076,Зайшов,,,11,,3155,Обіцяв бути,---,,#N/A
12,3083,Не з'явився,п.8,,12,Остання спроба,3156,Обіцяв бути,---,,7
13,3090,Зайшов,,,13,Остання спроба,3162,Обіцяв бути,---,,#N/A
14,3095,Зайшов,,,14,,3169,Обіцяв бути,---,,#N/A
15,3099,Зайшов,,,15,,3173,Обіцяв бути,---,,#N/A
16,3100,Зайшов,Остання спроба,,16,Остання спроба,3192,Обіцяв бути,---,,#N/A
17,3106,Зайшов,Остання спроба,,17,,3194,Обіцяв бути,---,,#N/A
18,3109,Не з'явився,п.8,,18,Остання спроба,3198,Обіцяв бути,---,,#N/A
19,3125,Зайшов,,,19,,3205,Обіцяв бути,---,,#N/A
20,3132,Не зайшов,,,20,,3210,Обіцяв бути,---,,10
21,3142,Не зайшов,Остання спроба,,21,,3216,Обіцяв бути,---,,11
22,3143,Не зайшов,Остання спроба,,22,,3217,Обіцяв бути,---,,12
23,3147,Не зайшов,Остання спроба,,23,,3220,Обіцяв бути,---,,13
24,3155,Не зайшов,,,24,,3225,Обіцяв бути,---,,14
25,3156,Не зайшов,Остання спроба,,25,,3227,Обіцяв бути,---,,15
26,3162,Не зайшов,Остання спроба,,26,,3233,Обіцяв бути,---,,16
27,3169,Не зайшов,,,27,,3235,Обіцяв бути,---,,17
28,3173,Не зайшов,,,28,,3236,Обіцяв бути,---,,18
29,3194,Не зайшов,,,29,,3238,Обіцяв бути,---,,20
30,3198,Не зайшов,Остання спроба,,30,,3243,Обіцяв бути,---,,21
31,3205,Не зайшов,,,31,,3244,Обіцяв бути,---,,22
32,3210,Не зайшов,,,32,,3245,Обіцяв бути,---,,23
33,3216,Не зайшов,,,33,,3247,Обіцяв бути,---,,24,#N/A
34,3217,Не зайшов,,,34,,3249,Обіцяв бути,---,,25
35,3220,Не зайшов,,,35,,3251,Обіцяв бути,---,,26
36,3225,Не зайшов,,,36,,3253,Обіцяв бути,---,,27
37,3227,Не зайшов,,,37,,3254,Обіцяв бути,---,,28
38,3233,Не зайшов,,,38,,3255,Обіцяв бути,---,,29
39,3235,Не зайшов,,,39,,3256,Обіцяв бути,---,,30
40,3236,Не зайшов,,,40,,3260,Обіцяв бути,---,,31
41,3238,Не зайшов,,,41,,3261,Обіцяв бути,---,,32
42,3243,Не зайшов,,,42,,3266,Обіцяв бути,---,,33
43,3244,Не зайшов,,,43,,3267,Обіцяв бути,---,,34
44,3245,Не зайшов,,,44,,3270,Обіцяв бути,---,,35
45,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,45,,3271,Обіцяв бути,---,,36
46,3249,Не зайшов,,,46,,3272,Обіцяв бути,---,,37
47,3253,Не зайшов,,,47,,3273,Обіцяв бути,---,,39
48,3254,Не зайшов,,,48,,3274,Обіцяв бути,---,,40,#N/A
49,3255,Не зайшов,,,49,,3275,Обіцяв бути,---,,41
50,3256,Не зайшов,,,50,,3279,Обіцяв бути,---,,42
51,3260,Не зайшов,,,51,,3287,Обіцяв бути,---,,43,#N/A
