"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,06.10.2025 (08:30 - 14:00),,,Поточний прийом:,,07.10.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,3023,Не з'явився,п.8,,1,остання спроба,3023,Обіцяв бути,---,,4
2,3209,Зайшов,,,2,,3313,Обіцяв бути,---,,#N/A
3,3250,Зайшов,,,3,,3360,Обіцяв бути,---,,#N/A
4,3252,Зайшов,,,4,,3361,Обіцяв бути,---,,#N/A
5,3269,Зайшов,,,5,остання спроба,3448,Обіцяв бути,---,,#N/A
6,3337,Зайшов,,,6,остання спроба,3452,Обіцяв бути,---,,#N/A
7,3417,Зайшов,,,7,остання спроба,3454,Обіцяв бути,---,,#N/A
8,3418,Зайшов,,,8,остання спроба,3468,Обіцяв бути,---,,#N/A
9,3430,Не з'явився,в кінець черги,,9,остання спроба,3483,Обіцяв бути,---,,#N/A
10,3447,Не з'явився,в кінець черги,,10,остання спроба,3495,Обіцяв бути,---,,#N/A
11,3448,Не з'явився,п.8,,11,остання спроба,3498,Обіцяв бути,---,,8
12,3452,Не з'явився,п.8,,12,остання спроба,3499,Обіцяв бути,---,,9
13,3454,Не з'явився,п.8,,13,остання спроба,3501,Обіцяв бути,---,,10
14,3457,Не з'явився,в кінець черги,,14,,3503,Обіцяв бути,---,,#N/A
15,3468,Не з'явився,п.8,,15,остання спроба,3504,Обіцяв бути,---,,11
16,3470,Зайшов,,,16,,3525,Обіцяв бути,---,,#N/A
17,3481,Зайшов,,,17,остання спроба,3528,Обіцяв бути,---,,#N/A
18,3483,Не з'явився,п.8,,18,,3530,Обіцяв бути,---,,12
19,3494,Зайшов,,,19,,3537,Обіцяв бути,---,,#N/A
20,3495,Не з'явився,п.8,,20,,3542,Обіцяв бути,---,,13
21,3498,Не з'явився,п.8,,21,,3561,Обіцяв бути,---,,14
22,3499,Не з'явився,п.8,,22,,3581,Обіцяв бути,---,,15
23,3500,Не з'явився,"п.8, попросив викреслити",,23,,3597,Обіцяв бути,---,,#N/A
24,3501,Не з'явився,п.8,,24,,3604,Обіцяв бути,---,,16
25,3504,Не з'явився,п.8,,25,,3608,Обіцяв бути,---,,18
26,3506,Не з'явився,"лікар, пройшла 25.09 поза чергою",,26,,3614,Обіцяв бути,---,,#N/A
27,3509,Не з'явився,пройшов на Іваниса https://t.me/vlkzakrevskogo81/59099,,27,,3647,Обіцяв бути,---,,#N/A
28,3515,Не з'явився,пройшов під номером 3210,,28,,3654,Обіцяв бути,---,,#N/A
29,3522,Не з'явився,скасував візит,,29,,3656,Обіцяв бути,---,,#N/A
30,3528,Не з'явився,п.8,,30,,3659,Обіцяв бути,---,,20
31,3533,Зайшов,,,31,,3660,Обіцяв бути,---,,#N/A
32,3537,Не зайшов,,,32,,3672,Обіцяв бути,---,,22
33,3542,Не зайшов,,,33,,3692,Обіцяв бути,---,,23
34,3556,Відклав візит,,,34,,3694,Обіцяв бути,---,,#N/A
35,3561,Не зайшов,,,35,,3695,Обіцяв бути,---,,24
36,3581,Не зайшов,,,36,,3696,Обіцяв бути,---,,25
37,3597,Не зайшов,,,37,,3704,Обіцяв бути,---,,26
38,3604,Не зайшов,,,38,,3706,Обіцяв бути,---,,27
39,3608,Не зайшов,,,39,,3709,Обіцяв бути,---,,28
