"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,10.09.2025 (8:30 - 14:00),,,NEXT DAY:,,11.09.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2688,Зайшов,,,1,Остання спроба,2704,Обіцяв бути,---,,#N/A
2,2745,Зайшов,Остання спроба,,2,,2721,Обіцяв бути,---,,#N/A
3,2806,Не з'явився,п.8,,3,Остання спроба,2806,Обіцяв бути,---,,6
4,2822,Відклав візит,,,4,Остання спроба,2869,Обіцяв бути,---,,#N/A
5,2874,Зайшов,Остання спроба,,5,Остання спроба,2963,Обіцяв бути,---,,#N/A
6,2958,Зайшов,Остання спроба,,6,Остання спроба,2964,Обіцяв бути,---,,#N/A
7,2960,Зайшов,,,7,Остання спроба,2970,Обіцяв бути,---,,#N/A
8,2963,Не з'явився,п.8,,8,Остання спроба,2973,Обіцяв бути,---,,8
9,2965,Зайшов,,,9,Остання спроба,3022,Обіцяв бути,---,,#N/A
10,2970,Не з'явився,п.8,,10,Остання спроба,3028,Обіцяв бути,---,,10
11,2973,Не з'явився,п.8,,11,,3076,Обіцяв бути,---,,11
12,2991,Зайшов,Остання спроба,,12,,3083,Обіцяв бути,---,,#N/A
13,3022,Не з'явився,п.8,,13,,3090,Обіцяв бути,---,,12
14,3028,Не з'явився,п.8,,14,,3095,Обіцяв бути,---,,13
15,3049,Зайшов,Остання спроба,,15,,3099,Обіцяв бути,---,,#N/A
16,3064,Зайшов,,,16,Остання спроба,3100,Обіцяв бути,---,,#N/A
17,3071,Не зайшов,на Іваніса,,17,Остання спроба,3106,Обіцяв бути,---,,#N/A
18,3076,Не зайшов,,,18,,3109,Обіцяв бути,---,,14
19,3083,Не зайшов,,,19,,3125,Обіцяв бути,---,,15
20,3090,Не зайшов,,,20,,3132,Обіцяв бути,---,,16
21,3095,Не зайшов,,,21,Остання спроба,3142,Обіцяв бути,---,,17
22,3100,Не зайшов,Остання спроба,,22,Остання спроба,3143,Обіцяв бути,---,,19
23,3106,Не зайшов,Остання спроба,,23,Остання спроба,3147,Обіцяв бути,---,,20
24,3109,Не зайшов,,,24,,3155,Обіцяв бути,---,,21
25,3125,Не зайшов,,,25,Остання спроба,3156,Обіцяв бути,---,,22
26,3132,Не зайшов,,,26,Остання спроба,3162,Обіцяв бути,---,,23
27,3142,Не зайшов,Остання спроба,,27,,3169,Обіцяв бути,---,,24
