"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,10.12.2025 (9:00 - 14:00),,,Поточний прийом:,,11.12.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
72,4541,Не зайшов,,,72,,4618,Обіцяв бути,---,05.01.2026
73,4546,Не зайшов,,,73,,4623,Обіцяв бути,---,05.01.2026
74,4550,Скасував,,,74,,4624,Обіцяв бути,---,05.01.2026
75,4554,Не зайшов,,,75,,4625,Обіцяв бути,---,05.01.2026
76,4560,Не зайшов,,,76,,4629,Обіцяв бути,---,05.01.2026
77,4566,Не зайшов,,,77,,4631,Відклав візит,08.01.2026,06.01.2026
78,4571,Не зайшов,,,78,,4632,Обіцяв бути,---,06.01.2026
79,4572,Не зайшов,,,79,,4637,Обіцяв бути,---,06.01.2026
80,4573,Скасував,,,80,,4656,Обіцяв бути,---,07.01.2026
81,4575,Не зайшов,,,81,,4674,Обіцяв бути,---,08.01.2026
82,4577,Не зайшов,,,82,,4675,Обіцяв бути,---,08.01.2026
83,4580,Не зайшов,,,83,,4680,Обіцяв бути,---,08.01.2026
84,4581,Зайшов (за живою чергою),,,84,,4704,Обіцяв бути,---,12.01.2026
85,4583,Не зайшов,,,85,,4706,Обіцяв бути,---,12.01.2026
86,4584,Не зайшов,,,86,,4723,Обіцяв бути,---,13.01.2026
87,4586,Не зайшов,,,87,,4724,Обіцяв бути,---,13.01.2026
88,4587,Не зайшов,,,88,,4731,Обіцяв бути,---,13.01.2026
89,4598,Скасував,,,89,,4735,Обіцяв бути,---,14.01.2026
90,4600,Не зайшов,,,90,,4747,Обіцяв бути,---,14.01.2026
91,4605,Скасував,,,91,,4755,Обіцяв бути,---,15.01.2026
92,4607,Не зайшов,,,92,,4762,Обіцяв бути,---,15.01.2026
93,4609,Не зайшов,,,93,,4771,Обіцяв бути,---,16.01.2026
94,4613,Скасував,,,94,,4773,Обіцяв бути,---,16.01.2026
95,4618,Не зайшов,,,95,,4776,Обіцяв бути,---,16.01.2026
96,4623,Не зайшов,,,96,,4780,Обіцяв бути,---,16.01.2026
97,4624,Не зайшов,,,97,,4786,Обіцяв бути,---,19.01.2026
98,4625,Не зайшов,,,98,,4788,Обіцяв бути,---,19.01.2026
99,4629,Не зайшов,,,99,,4789,Обіцяв бути,---,19.01.2026
100,4631,Не зайшов,,,100,,4791,Обіцяв бути,---,19.01.2026
101,4632,Не зайшов,,,101,,4794/2,Обіцяв бути,---,19.01.2026
102,4637,Не зайшов,,,102,,4794/4,Обіцяв бути,---,19.01.2026
103,4656,Не зайшов,,,103,,4795,Обіцяв бути,---,19.01.2026
104,4674,Не зайшов,,,104,,4807,Обіцяв бути,---,20.01.2026
105,4675,Не зайшов,,,105,,4813,Обіцяв бути,---,20.01.2026
106,4680,Не зайшов,,,106,,4820,Обіцяв бути,---,21.01.2026
107,4704,Не зайшов,,,107,,4825,Обіцяв бути,---,21.01.2026
108,4706,Не зайшов,,,108,,4833,Обіцяв бути,---,21.01.2026
109,4723,Не зайшов,,,109,,4845,Обіцяв бути,---,22.01.2026
110,4724,Не зайшов,,,110,,4854,Обіцяв бути,---,23.01.2026
111,4731,Не зайшов,,,111,,4855,Відклав візит,17.12.2025,23.01.2026
112,4735,Не зайшов,,,112,,4856,Обіцяв бути,---,23.01.2026
113,4747,Не зайшов,,,113,,4858,Обіцяв бути,---,23.01.2026
114,4755,Не зайшов,,,114,,4869,Обіцяв бути,---,26.01.2026
115,4762,Не зайшов,,,115,,4872,Обіцяв бути,---,26.01.2026
116,4771,Не зайшов,,,116,,4876,Обіцяв бути,---,26.01.2026
117,4773,Не зайшов,,,117,,4878,Обіцяв бути,---,26.01.2026
118,4776,Не зайшов,,,118,,4880,Обіцяв бути,---,26.01.2026
119,4780,Не зайшов,,,119,,4884,Обіцяв бути,---,26.01.2026
120,4786,Не зайшов,,,120,,4902,Обіцяв бути,---,28.01.2026
121,4787,Відклав візит,,,121,,4904,Обіцяв бути,---,28.01.2026
122,4788,Не зайшов,,,122,,4908,Обіцяв бути,---,28.01.2026
123,4789,Не зайшов,,,123,,4915,Обіцяв бути,---,28.01.2026
124,4791,Не зайшов,,,124,,4919,Обіцяв бути,---,29.01.2026
125,4794/2,Не зайшов,,,125,,4933,Обіцяв бути,---,29.01.2026
126,4794/4,Не зайшов,,,126,,4935,Обіцяв бути,---,29.01.2026
127,4795,Не зайшов,,,127,,4960,Обіцяв бути,---,02.02.2026
128,4807,Не зайшов,,,128,,4963,Обіцяв бути,---,02.02.2026
129,4813,Не зайшов,,,129,,4965,Обіцяв бути,---,02.02.2026
130,4820,Не зайшов,,,130,,4966,Обіцяв бути,---,02.02.2026
131,4825,Не зайшов,,,131,,4968,Обіцяв бути,---,02.02.2026
132,4833,Не зайшов,,,132,,4970,Обіцяв бути,---,03.02.2026
133,4845,Не зайшов,,,133,,4971,Обіцяв бути,---,03.02.2026
134,4854,Не зайшов,,,134,,4973,Обіцяв бути,---,03.02.2026
135,4855,Не зайшов,,,135,,4976,Обіцяв бути,---,03.02.2026
136,4856,Не зайшов,,,136,,4978,Обіцяв бути,---,03.02.2026
137,4858,Не зайшов,,,137,,4980,Обіцяв бути,---,03.02.2026
138,4869,Не зайшов,,,138,,4981,Обіцяв бути,---,03.02.2026
139,4872,Не зайшов,,,139,,4982,Обіцяв бути,---,03.02.2026
140,4876,Не зайшов,,,140,,4989,Обіцяв бути,---,04.02.2026
141,4878,Не зайшов,,,141,,4997,Обіцяв бути,---,04.02.2026
142,4880,Не зайшов,,,142,,4999,Обіцяв бути,---,04.02.2026
143,4883,Відклав візит,,,143,,5001,Обіцяв бути,---,04.02.2026
144,4884,Не зайшов,,,144,,5003,Обіцяв бути,---,04.02.2026
145,4902,Не зайшов,,,145,,5004,Обіцяв бути,---,05.02.2026
146,4904,Не зайшов,,,146,,5009,Обіцяв бути,---,05.02.2026
147,4908,Не зайшов,,,147,,5010,Обіцяв бути,---,05.02.2026
148,4935,Не зайшов,,,148,,5015,Обіцяв бути,---,05.02.2026
149,4960,Не зайшов,,,149,,5020,Обіцяв бути,---,05.02.2026
150,4963,Не зайшов,,,150,,5029,Обіцяв бути,---,06.02.2026
151,4965,Не зайшов,,,151,,5036,Обіцяв бути,---,06.02.2026
152,4966,Не зайшов,,,152,,5041,Обіцяв бути,---,09.02.2026
153,4968,Не зайшов,,,153,,5057,Обіцяв бути,---,10.02.2026
154,4970,Не зайшов,,,154,,5094,Обіцяв бути,---,12.02.2026
155,4971,Не зайшов,,,155,,5098,Відклав візит,28.01.2026,12.02.2026
156,4973,Не зайшов,,,156,,5099,Обіцяв бути,---,12.02.2026
157,4976,Не зайшов,,,157,,5216,Обіцяв бути,---,23.02.2026
158,4978,Не зайшов,,,158
159,4980,Не зайшов,,,159
160,4981,Не зайшов,,,160
161,4982,Не зайшов,,,161
162,4989,Не зайшов,,,162
163,4997,Не зайшов,,,163
164,4999,Не зайшов,,,164
165,5001,Не зайшов,,,165
166,5003,Не зайшов,,,166
167,5004,Не зайшов,,,167
168,5009,Не зайшов,,,168
169,5010,Не зайшов,,,169
170,5015,Не зайшов,,,170
171,5020,Не зайшов,,,171
172,5029,Не зайшов,,,172
173,5036,Не зайшов,,,173
174,5041,Не зайшов,,,174
175,5053,Скасував,,,175
176,5057,Не зайшов,,,176
177,5094,Не зайшов,,,177
178,5099,Не зайшов,,,178
179,5109,Скасував,,,179
180,5216,Не зайшов,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
198,,,,,198
199,,,,,199
200,,,,,200
201,,,,,201
202,,,,,202
203,,,,,203
204,,,,,204
205,,,,,205
206,,,,,206
207,,,,,207
208,,,,,208
209,,,,,209
210,,,,,210
211,,,,,211
212,,,,,212
213,,,,,213
214,,,,,214
215,,,,,215
216,,,,,216
217,,,,,217
218,,,,,218
219,,,,,219
220,,,,,220
221,,,,,221
222,,,,,222
223,,,,,223
224,,,,,224
225,,,,,225
226,,,,,226
227,,,,,227
228,,,,,228
229,,,,,229
230,,,,,230
231,,,,,231
232,,,,,232
233,,,,,233
234,,,,,234
235,,,,,235
236,,,,,236
237,,,,,237
238,,,,,238
239,,,,,239
240,,,,,240
241,,,,,241
242,,,,,242
243,,,,,243
244,,,,,244
245,,,,,245
246,,,,,246
247,,,,,247
248,,,,,248
249,,,,,249
250,,,,,250
251,,,,,251
252,,,,,252
253,,,,,253
254,,,,,254
255,,,,,255
256,,,,,256
257,,,,,257
258,,,,,258
259,,,,,259
260,,,,,260
261,,,,,261
262,,,,,262
263,,,,,263
264,,,,,264
265,,,,,265
266,,,,,266
267,,,,,267
268,,,,,268
269,,,,,269
270,,,,,270
271,,,,,271
272,,,,,272
273,,,,,273
274,,,,,274
275,,,,,275
276,,,,,276
277,,,,,277
278,,,,,278
279,,,,,279
280,,,,,280
281,,,,,281
282,,,,,282
283,,,,,283
284,,,,,284
285,,,,,285
286,,,,,286
287,,,,,287
288,,,,,288
289,,,,,289
290,,,,,290
291,,,,,291
292,,,,,292
293,,,,,293
294,,,,,294
295,,,,,295
296,,,,,296
297,,,,,297
298,,,,,298
299,,,,,299
300,,,,,300
301,,,,,301
302,,,,,302
303,,,,,303
304,,,,,304
305,,,,,305
306,,,,,306
307,,,,,307
308,,,,,308
309,,,,,309
310,,,,,310
311,,,,,311
312,,,,,312
313,,,,,313
314,,,,,314
315,,,,,315
316,,,,,316
317,,,,,317
318,,,,,318
319,,,,,319
320,,,,,320
321,,,,,321
322,,,,,322
323,,,,,323
324,,,,,324
325,,,,,325
326,,,,,326
327,,,,,327
328,,,,,328
329,,,,,329
330,,,,,330
331,,,,,331
332,,,,,332
333,,,,,333
334,,,,,334
335,,,,,335
336,,,,,336
337,,,,,337
338,,,,,338
339,,,,,339
340,,,,,340
341,,,,,341
342,,,,,342
343,,,,,343
344,,,,,344
345,,,,,345
346,,,,,346
347,,,,,347
348,,,,,348
349,,,,,349
350,,,,,350
351,,,,,351
352,,,,,352
353,,,,,353
354,,,,,354
355,,,,,355
356,,,,,356
357,,,,,357
358,,,,,358
359,,,,,359
360,,,,,360
361,,,,,361
362,,,,,362
363,,,,,363
364,,,,,364
365,,,,,365
366,,,,,366
367,,,,,367
368,,,,,368
369,,,,,369
370,,,,,370
371,,,,,371
372,,,,,372
373,,,,,373
374,,,,,374
375,,,,,375
376,,,,,376
377,,,,,377
378,,,,,378
379,,,,,379
380,,,,,380
381,,,,,381
382,,,,,382
383,,,,,383
384,,,,,384
385,,,,,385
386,,,,,386
387,,,,,387
388,,,,,388
389,,,,,389
390,,,,,390
391,,,,,391
392,,,,,392
393,,,,,393
394,,,,,394
395,,,,,395
396,,,,,396
397,,,,,397
398,,,,,398
399,,,,,399
400,,,,,400
401,,,,,401
402,,,,,402
403,,,,,403
404,,,,,404
405,,,,,405
406,,,,,406
407,,,,,407
408,,,,,408
409,,,,,409
410,,,,,410
411,,,,,411
412,,,,,412
413,,,,,413
414,,,,,414
415,,,,,415
416,,,,,416
417,,,,,417
418,,,,,418
419,,,,,419
420,,,,,420
421,,,,,421
422,,,,,422
423,,,,,423
424,,,,,424
425,,,,,425
426,,,,,426
427,,,,,427
428,,,,,428
429,,,,,429
430,,,,,430
431,,,,,431
432,,,,,432
433,,,,,433
434,,,,,434
435,,,,,435
436,,,,,436
437,,,,,437
438,,,,,438
439,,,,,439
440,,,,,440
441,,,,,441
442,,,,,442
443,,,,,443
444,,,,,444
445,,,,,445
446,,,,,446
447,,,,,447
448,,,,,448
449,,,,,449
450,,,,,450
451,,,,,451
452,,,,,452
453,,,,,453
454,,,,,454
455,,,,,455
456,,,,,456
457,,,,,457
458,,,,,458
459,,,,,459
460,,,,,460
461,,,,,461
462,,,,,462
463,,,,,463
464,,,,,464
465,,,,,465
466,,,,,466
467,,,,,467
468,,,,,468
469,,,,,469
470,,,,,470
471,,,,,471
472,,,,,472
473,,,,,473
474,,,,,474
475,,,,,475
476,,,,,476
477,,,,,477
478,,,,,478
479,,,,,479
480,,,,,480
481,,,,,481
482,,,,,482
483,,,,,483
484,,,,,484
485,,,,,485
486,,,,,486
487,,,,,487
488,,,,,488
489,,,,,489
490,,,,,490
491,,,,,491
492,,,,,492
493,,,,,493
494,,,,,494
495,,,,,495
496,,,,,496
497,,,,,497
