"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,15.09.2025 (15:00 - 17:30),,,NEXT DAY:,,16.09.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2424,Зайшов,Остання спроба,,1,Остання спроба,2792,Обіцяв бути,---,,#N/A
2,2792,Не з'явився,,,2,,2834,Обіцяв бути,---,,4
3,2800,Зайшов,Остання спроба,,3,Остання спроба,2916,Обіцяв бути,---,,#N/A
4,2822,Зайшов,,,4,,2993,Обіцяв бути,---,,#N/A
5,2834,Не зайшов,,,5,,3008,Обіцяв бути,---,,5
6,2871,Не зайшов,Остання спроба,,6,Остання спроба,3019,Обіцяв бути,---,,#N/A
7,3109,Не зайшов,Остання спроба,,7,Остання спроба,3020,Обіцяв бути,---,,12
8,3132,Не зайшов,,,8,,3030,Обіцяв бути,---,,13
9,3143,Не зайшов,Остання спроба,,9,Остання спроба,3109,Обіцяв бути,---,,14
10,3147,Не зайшов,Остання спроба,,10,Остання спроба,3132,Обіцяв бути,---,,15
11,3155,Не зайшов,Остання спроба,,11,Остання спроба,3143,Обіцяв бути,---,,16
12,3156,Не зайшов,Остання спроба,,12,Остання спроба,3147,Обіцяв бути,---,,17
13,3162,Не зайшов,,,13,,3155,Обіцяв бути,---,,18
14,3169,Не зайшов,Остання спроба,,14,Остання спроба,3156,Обіцяв бути,---,,19
15,3173,Не зайшов,Остання спроба,,15,Остання спроба,3162,Обіцяв бути,---,,20
16,3178,Не зайшов,,,16,,3169,Обіцяв бути,---,,21
17,3194,Не зайшов,,,17,,3173,Обіцяв бути,---,,23
18,3198,Не зайшов,Остання спроба,,18,Остання спроба,3178,Обіцяв бути,---,,24
19,3205,Не зайшов,Остання спроба,,19,Остання спроба,3192,Обіцяв бути,---,,27
20,3210,Не зайшов,,,20,,3194,Обіцяв бути,---,,28
21,3216,Не зайшов,Остання спроба,,21,Остання спроба,3198,Обіцяв бути,---,,29
22,3217,Не зайшов,,,22,,3202,Обіцяв бути,---,,30
23,3220,Не зайшов,,,23,,3203,Обіцяв бути,---,,31
24,3225,Не зайшов,,,24,,3205,Обіцяв бути,---,,33
25,3227,Не зайшов,,,25,,3210,Обіцяв бути,---,,34
26,3233,Не зайшов,,,26,,3216,Обіцяв бути,---,,35
27,3235,Не зайшов,,,27,,3217,Обіцяв бути,---,,36
28,3236,Не зайшов,,,28,,3220,Обіцяв бути,---,,37
29,3238,Не зайшов,,,29,,3224,Обіцяв бути,---,,38
30,3243,Не зайшов,,,30,,3225,Обіцяв бути,---,,40
31,3244,Не зайшов,,,31,,3227,Обіцяв бути,---,,41
32,3245,Не зайшов,,,32,,3233,Обіцяв бути,---,,42
33,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,33,,3235,Обіцяв бути,---,,43
34,3249,Не зайшов,,,34,,3236,Обіцяв бути,---,,44
35,3251,Не зайшов,,,35,,3238,Обіцяв бути,---,,#N/A
36,3253,Не зайшов,,,36,,3242,Обіцяв бути,---,,45
37,3254,Не зайшов,,,37,,3243,Обіцяв бути,---,,46
38,3255,Не зайшов,,,38,,3244,Обіцяв бути,---,,47
39,3256,Не зайшов,,,39,,3245,Обіцяв бути,---,,48
40,3260,Не зайшов,,,40,,3247,Обіцяв бути,---,,49
41,3261,Не зайшов,,,41,,3249,Обіцяв бути,---,,50
42,3266,Не зайшов,,,42,,3253,Обіцяв бути,---,,52
43,3267,Не зайшов,,,43,,3254,Обіцяв бути,---,,53
44,3270,Не зайшов,,,44,,3255,Обіцяв бути,---,,#N/A
45,3271,Не зайшов,,,45,,3256,Обіцяв бути,---,,54
46,3272,Не зайшов,,,46,,3260,Обіцяв бути,---,,55
47,3273,Не зайшов,,,47,,3261,Обіцяв бути,---,,56
48,3274,Не зайшов,,,48,,3262,Обіцяв бути,---,,57,#N/A
49,3275,Не зайшов,,,49,,3266,Обіцяв бути,---,,58
50,3279,Не зайшов,,,50,,3267,Обіцяв бути,---,,59
51,3284,Не зайшов,,,51,,3271,Обіцяв бути,---,,#N/A,#N/A
