"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,09.09.2025 (8:30 - 14:00),,,NEXT DAY:,,10.09.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2661,Зайшов,,,1,,2688,Обіцяв бути,---
2,2793,Зайшов,,,2,Остання спроба,2745,Обіцяв бути,---
3,2832,Зайшов,Остання спроба,,3,,2806,Обіцяв бути,---
4,2851,Зайшов,,,4,,2822,Обіцяв бути,---
5,2880,Зайшов,Остання спроба,,5,Остання спроба,2874,Обіцяв бути,---
6,2906,Зайшов,,,6,Остання спроба,2958,Обіцяв бути,---
7,2925,Зайшов,,,7,,2960,Обіцяв бути,---
8,2932,Зайшов,,,8,,2963,Обіцяв бути,---
9,2933,Зайшов,,,9,,2965,Обіцяв бути,---
10,2935,Зайшов,,,10,,2970,Обіцяв бути,---
11,2951,Зайшов,,,11,Остання спроба,2973,Обіцяв бути,---
12,2958,Не зайшов,Остання спроба,,12,Остання спроба,2991,Обіцяв бути,---
13,2960,Не зайшов,,,13,,3022,Обіцяв бути,---
14,2963,Не зайшов,,,14,,3028,Обіцяв бути,---
15,2965,Не зайшов,,,15,Остання спроба,3049,Обіцяв бути,---
16,2970,Не зайшов,,,16,,3064,Обіцяв бути,---
17,2973,Не зайшов,Остання спроба,,17,,3071,Обіцяв бути,---
18,2991,Не зайшов,Остання спроба,,18,,3076,Обіцяв бути,---
19,3013,Не зайшов,,,19,,3083,Обіцяв бути,---
20,3022,Не зайшов,,,20,,3090,Обіцяв бути,---
21,3028,Не зайшов,,,21,,3095,Обіцяв бути,---
22,3049,Не зайшов,Остання спроба,,22,Остання спроба,3100,Обіцяв бути,---
23,3064,Не зайшов,,,23,Остання спроба,3106,Обіцяв бути,---
24,3071,Не зайшов,,,24,,3109,Обіцяв бути,---
25,3076,Не зайшов,,,25,,3118,Обіцяв бути,---
26,3083,Не зайшов,,,26,,3125,Обіцяв бути,---
27,3090,Не зайшов,,,27,,3132,Обіцяв бути,---
28,3095,Не зайшов,,,28,Остання спроба,3142,Обіцяв бути,---
29,3100,Не зайшов,Остання спроба,,29,Остання спроба,3143,Обіцяв бути,---
30,3106,Не зайшов,Остання спроба,,30,,3155,Обіцяв бути,---
31,3109,Не зайшов,,,31,Остання спроба,3156,Обіцяв бути,---
32,3125,Не зайшов,,,32,Остання спроба,3162,Обіцяв бути,---
33,3132,Не зайшов,,,33,,3169,Обіцяв бути,---,,,#N/A
34,3143,Не зайшов,Остання спроба,,34,,3173,Обіцяв бути,---
35,3155,Не зайшов,,,35,Остання спроба,3192,Обіцяв бути,---
36,3156,Не зайшов,Остання спроба,,36,,3194,Обіцяв бути,---
37,3162,Не зайшов,Остання спроба,,37,Остання спроба,3198,Обіцяв бути,---
38,3169,Не зайшов,,,38,,3205,Обіцяв бути,---
39,3173,Не зайшов,,,39,,3210,Обіцяв бути,---
40,3192,Не зайшов,Остання спроба,,40,,3216,Обіцяв бути,---
41,3194,Не зайшов,,,41,,3217,Обіцяв бути,---
42,3198,Не зайшов,Остання спроба,,42,,3220,Обіцяв бути,---
43,3205,Не зайшов,,,43,,3225,Обіцяв бути,---
44,3210,Не зайшов,,,44,,3227,Обіцяв бути,---
45,3216,Не зайшов,,,45,,3233,Обіцяв бути,---
46,3217,Не зайшов,,,46,,3236,Обіцяв бути,---
47,3220,Не зайшов,,,47,,3238,Обіцяв бути,---
48,3225,Не зайшов,,,48,,3243,Обіцяв бути,---,,,#N/A
49,3227,Не зайшов,,,49,,3244,Обіцяв бути,---
50,3233,Не зайшов,,,50,,3245,Обіцяв бути,---
51,3236,Не зайшов,,,51,,3249,Обіцяв бути,---,,,#N/A
52,3238,Не зайшов,,,52,,3253,Обіцяв бути,---
53,3243,Не зайшов,,,53,,3254,Обіцяв бути,---
54,3244,Не зайшов,,,54,,3255,Обіцяв бути,---
55,3245,Не зайшов,,,55,,3256,Обіцяв бути,---
56,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,56,,3260,Обіцяв бути,---
57,3249,Не зайшов,,,57,,3261,Обіцяв бути,---
58,3253,Не зайшов,,,58,,3266,Обіцяв бути,---
59,3254,Не зайшов,,,59,,3267,Обіцяв бути,---
60,3255,Не зайшов,,,60,,3270,Обіцяв бути,---
61,3256,Не зайшов,,,61,,3271,Обіцяв бути,---
62,3260,Не зайшов,,,62,,3272,Обіцяв бути,---
63,3261,Не зайшов,,,63,,3273,Обіцяв бути,---
64,3266,Не зайшов,,,64,,3274,Обіцяв бути,---
65,3267,Не зайшов,,,65,,3275,Обіцяв бути,---
66,3270,Не зайшов,,,66,,3279,Обіцяв бути,---
67,3271,Не зайшов,,,67,,3287,Обіцяв бути,---
68,3272,Не зайшов,,,68,,3288,Обіцяв бути,---
69,3273,Не зайшов,,,69,,3298,Обіцяв бути,---
70,3274,Не зайшов,,,70,,3303,Обіцяв бути,---
71,3275,Не зайшов,,,71,,3307,Обіцяв бути,---
72,3279,Не зайшов,,,72,,3310,Обіцяв бути,---
73,3287,Не зайшов,,,73,,3314,Обіцяв бути,---,,,#N/A
74,3288,Не зайшов,,,74,,3326,Обіцяв бути,---
75,3298,Не зайшов,,,75,,3328,Обіцяв бути,---
76,3303,Не зайшов,,,76,,3329,Обіцяв бути,---
77,3307,Не зайшов,,,77,,3341,Обіцяв бути,---
78,3310,Не зайшов,,,78,,3342,Обіцяв бути,---
79,3314,Не зайшов,,,79,,3345,Обіцяв бути,---
80,3326,Не зайшов,,,80,,3346,Обіцяв бути,---
81,3328,Не зайшов,,,81,,3357,Обіцяв бути,---
82,3329,Не зайшов,,,82,,3375,Обіцяв бути,---,,,#N/A
83,3341,Не зайшов,,,83,,3383,Обіцяв бути,---
84,3345,Не зайшов,,,84,,3384,Обіцяв бути,---
85,3346,Не зайшов,,,85,,3395,Обіцяв бути,---
86,3357,Не зайшов,,,86,,3396,Обіцяв бути,---
87,3383,Не зайшов,,,87,,3399,Обіцяв бути,---
88,3384,Не зайшов,,,88,,3426,Обіцяв бути,---
89,3395,Не зайшов,,,89,,3429,Обіцяв бути,---
90,3421,Не зайшов,,,90,,3431,Обіцяв бути,---
91,3426,Не зайшов,,,91,,3447,Обіцяв бути,---
92,3431,Не зайшов,,,92,,3457,Обіцяв бути,---
93,3447,Не зайшов,,,93,,3459,Обіцяв бути,---
94,3457,Не зайшов,,,94,,3461,Обіцяв бути,---
95,3459,Не зайшов,,,95,,3463,Обіцяв бути,---
96,3461,Не зайшов,,,96,,3483,Обіцяв бути,---,,,#N/A
97,3463,Не зайшов,,,97,,3495,Обіцяв бути,---
98,3483,Не зайшов,,,98,,3498,Обіцяв бути,---
99,3495,Не зайшов,,,99,,3500,Обіцяв бути,---
100,3498,Не зайшов,,,100,,3501,Обіцяв бути,---
101,3500,Відклав візит,,,101,,3503,Обіцяв бути,---
102,3501,Не зайшов,,,102,,3504,Обіцяв бути,---
103,3504,Відклав візит,,,103,,3515,Обіцяв бути,---
104,3515,Відклав візит,,,104,,3520,Обіцяв бути,---
105,3522,Не зайшов,,,105,,3522,Обіцяв бути,---
106,,,,,106,,3537,Обіцяв бути,---
107,,,,,107,,3597,Обіцяв бути,---
108,,,,,108,,3604,Обіцяв бути,---
109,,,,,109
110,,,,,110
111,,,,,111
112,,,,,112
113,,,,,113
114,,,,,114
115,,,,,115
116,,,,,116
117,,,,,117
118,,,,,118
119,,,,,119
120,,,,,120
121,,,,,121
122,,,,,122
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
