"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,04.08.2025 (14:00 - 16:30),,,NEXT DAY:,,05.08.2025 (10:00 - 14:00)
69,2731,Відклав візит,,,69,,2715,Обіцяв бути,---
70,2736,Не зайшов,,,70,,2719,Обіцяв бути,---
71,2741,Не зайшов,,,71,,2728,Обіцяв бути,---
72,2743,Не зайшов,,,72,,2736,Обіцяв бути,---
73,2744,Не зайшов,,,73,,2741,Обіцяв бути,---
74,2752,Не зайшов,,,74,,2743,Обіцяв бути,---
75,2769,Не зайшов,,,75,,2744,Обіцяв бути,---
76,2771,Не зайшов,,,76,,2752,Обіцяв бути,---
77,2790,Відклав візит,,,77,,2769,Обіцяв бути,---
78,2791,Не зайшов,,,78,,2771,Обіцяв бути,---
79,,,,,79,,2791,Обіцяв бути,---
80,,,,,80
81,,,,,81
82,,,,,82
83,,,,,83
84,,,,,84
85,,,,,85
86,,,,,86
87,,,,,87
88,,,,,88
89,,,,,89
90,,,,,90
91,,,,,91
92,,,,,92
93,,,,,93
94,,,,,94
95,,,,,95
96,,,,,96
97,,,,,97
98,,,,,98
99,,,,,99
100,,,,,100
101,,,,,101
102,,,,,102
103,,,,,103
104,,,,,104
105,,,,,105
106,,,,,106
107,,,,,107
108,,,,,108
109,,,,,109
110,,,,,110
111,,,,,111
112,,,,,112
113,,,,,113
114,,,,,114
115,,,,,115
116,,,,,116
117,,,,,117
