"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,19.09.2025 (15:00 - 17:30),,,NEXT DAY:,,22.09.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
96,3672,Не зайшов,,,96,"Ваш номер 3734, а не 3834",3734,Обіцяв бути,---,,90,#N/A
97,3688,Відклав візит,,,97,,3741,Обіцяв бути,---,,#N/A
98,3696,Не зайшов,,,98,,3744,Обіцяв бути,---,,91
99,3704,Не зайшов,,,99,,3763,Обіцяв бути,---,,92
100,3709,Не зайшов,,,100,,3776,Обіцяв бути,---,,93
101,3712,Не зайшов,,,101,,3779,Обіцяв бути,---,,94
102,3719,Не зайшов,,,102,,3792,Обіцяв бути,---,,95
103,3720,Не зайшов,,,103,,3815,Обіцяв бути,---,,96
104,3724,Не зайшов,,,104,,3819,Обіцяв бути,---,,97
105,3741,Не зайшов,,,105,,,,,,100
106,3763,Не зайшов,,,106,,,,,,102
107,,,,,107,,,,,,#N/A
108,,,,,108,,,,,,#N/A
109,,,,,109,,,,,,#N/A
110,,,,,110,,,,,,#N/A
111,,,,,111,,,,,,#N/A
112,,,,,112,,,,,,#N/A
113,,,,,113,,,,,,#N/A
114,,,,,114,,,,,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
