"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,29.07.2025 (10:00 - 16:00),,,NEXT DAY:,,30.07.2025 (08:30 - 14:00)
62,2395,Відклав візит,,,62,,2652,Обіцяв бути,---
63,2425,Не зайшов,,,63,,2691,Обіцяв бути,---
64,2458,Не зайшов,,,64,,2695,Обіцяв бути,---
65,2460,Не зайшов,,,65,,2708,Обіцяв бути,---
66,2464,Не зайшов,,,66,,2715,Обіцяв бути,---
67,2469,Не зайшов,,,67,,2719,Обіцяв бути,---
68,2479,Не зайшов,,,68,,2728,Обіцяв бути,---
69,2510,Не зайшов,,,69,,2731,Обіцяв бути,---
70,2515,Не зайшов,,,70,,2736,Обіцяв бути,---
71,2518,Не зайшов,,,71,,2741,Обіцяв бути,---
72,2524,Відклав візит,,,72,,2743,Обіцяв бути,---
73,2530,Не зайшов,,,73,,2752,Обіцяв бути,---
74,2565,Відклав візит,,,74,,2769,Обіцяв бути,---
75,2586,Не зайшов,,,75,,2771,Обіцяв бути,---
76,2589,Не зайшов,,,76,,2791,Обіцяв бути,---
77,2613,Не зайшов,,,77
78,2652,Не зайшов,,,78
79,2691,Не зайшов,,,79
80,2695,Не зайшов,,,80
81,2708,Не зайшов,,,81
82,2715,Не зайшов,,,82
83,2719,Не зайшов,,,83
84,2728,Не зайшов,,,84
85,2731,Не зайшов,,,85
86,2736,Не зайшов,,,86
87,2741,Не зайшов,,,87
88,2743,Не зайшов,,,88
89,2769,Не зайшов,,,89
90,2771,Не зайшов,,,90
91,2791,Не зайшов,,,91
92,,,,,92
93,,,,,93
94,,,,,94
95,,,,,95
96,,,,,96
97,,,,,97
98,,,,,98
99,,,,,99
100,,,,,100
101,,,,,101
102,,,,,102
103,,,,,103
104,,,,,104
105,,,,,105
106,,,,,106
107,,,,,107
108,,,,,108
109,,,,,109
110,,,,,110
111,,,,,111
112,,,,,112
113,,,,,113
114,,,,,114
115,,,,,115
116,,,,,116
117,,,,,117
