"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,12.09.2025 (8:30 - 14:00),,,NEXT DAY:,,15.09.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2888,Зайшов,Остання спроба,,1,,2424,Обіцяв бути,---,,#N/A
2,3057,Зайшов,,,2,,2792,Обіцяв бути,---,,#N/A
3,3063,Зайшов,,,3,,2800,Обіцяв бути,---,,#N/A
4,3083,Не з'явився,в кінець черги,,4,,2822,Обіцяв бути,---,,#N/A
5,3088,Зайшов,,,5,,2834,Обіцяв бути,---,,#N/A
6,3118,Зайшов,,,6,,2871,Обіцяв бути,---,,#N/A
7,3132,Не з'явився,п.8,,7,Остання спроба,3109,Обіцяв бути,---,,11
8,3142,Зайшов,Остання спроба,,8,Остання спроба,3132,Обіцяв бути,---,,#N/A
9,3143,Не зайшов,Остання спроба,,9,Остання спроба,3143,Обіцяв бути,---,,12
10,3147,Не зайшов,Остання спроба,,10,Остання спроба,3147,Обіцяв бути,---,,13
11,3155,Не зайшов,,,11,,3155,Обіцяв бути,---,,14
12,3156,Не зайшов,Остання спроба,,12,Остання спроба,3156,Обіцяв бути,---,,15
13,3162,Не зайшов,Остання спроба,,13,Остання спроба,3162,Обіцяв бути,---,,16
14,3169,Не зайшов,,,14,,3169,Обіцяв бути,---,,17
15,3173,Не зайшов,,,15,,3173,Обіцяв бути,---,,18
16,3192,Не зайшов,Остання спроба,,16,Остання спроба,3178,Обіцяв бути,---,,#N/A
17,3194,Не зайшов,,,17,,3194,Обіцяв бути,---,,20
18,3198,Не зайшов,Остання спроба,,18,Остання спроба,3198,Обіцяв бути,---,,21
19,3205,Не зайшов,,,19,,3205,Обіцяв бути,---,,22
20,3210,Не зайшов,,,20,,3210,Обіцяв бути,---,,23
21,3216,Не зайшов,,,21,,3216,Обіцяв бути,---,,24
22,3217,Не зайшов,,,22,,3217,Обіцяв бути,---,,25
23,3220,Не зайшов,,,23,,3220,Обіцяв бути,---,,26
24,3225,Не зайшов,,,24,,3225,Обіцяв бути,---,,27
25,3227,Не зайшов,,,25,,3227,Обіцяв бути,---,,28
26,3233,Не зайшов,,,26,,3233,Обіцяв бути,---,,29
27,3235,Не зайшов,,,27,,3235,Обіцяв бути,---,,30
28,3236,Не зайшов,,,28,,3236,Обіцяв бути,---,,31
29,3238,Не зайшов,,,29,,3238,Обіцяв бути,---,,32
30,3243,Не зайшов,,,30,,3243,Обіцяв бути,---,,33
31,3244,Не зайшов,,,31,,3244,Обіцяв бути,---,,34
32,3245,Не зайшов,,,32,,3245,Обіцяв бути,---,,35
33,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,33,,3247,Обіцяв бути,---,,36
34,3249,Не зайшов,,,34,,3249,Обіцяв бути,---,,37
35,3251,Не зайшов,,,35,,3251,Обіцяв бути,---,,38
36,3253,Не зайшов,,,36,,3253,Обіцяв бути,---,,39
37,3254,Відклав візит,,,37,,3254,Обіцяв бути,---,,40
38,3255,Не зайшов,,,38,,3255,Обіцяв бути,---,,41
39,3256,Не зайшов,,,39,,3256,Обіцяв бути,---,,42
40,3260,Не зайшов,,,40,,3260,Обіцяв бути,---,,43
41,3261,Не зайшов,,,41,,3261,Обіцяв бути,---,,44
42,3266,Не зайшов,,,42,,3266,Обіцяв бути,---,,45
43,3267,Не зайшов,,,43,,3267,Обіцяв бути,---,,46
44,3270,Не зайшов,,,44,,3270,Обіцяв бути,---,,47
45,3271,Не зайшов,,,45,,3271,Обіцяв бути,---,,48
46,3272,Не зайшов,,,46,,3272,Обіцяв бути,---,,49
